timestamp,level,cpu_max_pct,cpu_avg_pct,mem_used_pct,mem_avail_mb,disk_read_mb,disk_write_mb,net_sent_mb,net_recv_mb,top_pid,top_proc_name,top_proc_cpu,status,is_anomaly,anomaly_type,line_no
2026-05-22 18:33:43,INFO,22.5,22.5,53.5,1860.0,3.36,0.56,0.08,0.65,500,python,22.5,NORMAL,0,none,5
2026-05-22 18:33:44,INFO,4.7,4.7,45.5,2180.0,1.56,2.97,0.86,1.03,501,python,4.7,NORMAL,0,none,6
2026-05-22 18:33:45,INFO,14.5,14.5,24.9,3004.0,3.89,1.43,1.17,0.78,502,python,14.5,NORMAL,0,none,7
2026-05-22 18:33:46,INFO,12.8,12.8,40.8,2368.0,2.72,2.87,0.78,0.62,503,python,12.8,NORMAL,0,none,8
2026-05-22 18:33:47,INFO,25.8,25.8,26.2,2952.0,0.14,0.84,0.42,1.72,504,python,25.8,NORMAL,0,none,9
2026-05-22 18:33:48,INFO,20.3,20.3,21.8,3128.0,2.97,0.13,0.37,0.38,505,python,20.3,NORMAL,0,none,10
2026-05-22 18:33:49,INFO,15.7,15.7,29.3,2828.0,0.34,2.09,1.2,0.34,506,python,15.7,NORMAL,0,none,11
2026-05-22 18:33:50,WARNING,97.7,97.7,25.2,2992.0,3.34,2.62,0.6,0.55,507,python,97.7,ANOMALY:CPU_SPIKE,1,CPU_SPIKE,12
2026-05-22 18:33:51,INFO,16.7,16.7,55.4,1784.0,2.81,0.41,1.59,1.04,508,python,16.7,NORMAL,0,none,13
2026-05-22 18:33:52,INFO,2.2,2.2,43.7,2252.0,2.14,1.16,1.17,1.8,509,python,2.2,NORMAL,0,none,14
2026-05-22 18:33:53,INFO,4.0,4.0,47.7,2092.0,3.43,3.0,0.65,0.88,510,python,4.0,NORMAL,0,none,15
2026-05-22 18:33:54,INFO,18.8,18.8,57.4,1704.0,1.84,1.29,1.39,0.07,511,python,18.8,NORMAL,0,none,16
2026-05-22 18:33:55,INFO,6.0,6.0,58.6,1656.0,0.59,2.14,0.27,1.97,512,python,6.0,NORMAL,0,none,17
2026-05-22 18:33:56,INFO,23.1,23.1,44.6,2216.0,3.65,2.44,0.51,0.61,513,python,23.1,NORMAL,0,none,18
2026-05-22 18:33:57,INFO,13.9,13.9,53.3,1868.0,2.1,0.58,1.33,1.29,514,python,13.9,NORMAL,0,none,19
2026-05-22 18:33:58,INFO,6.7,6.7,40.3,2388.0,4.88,2.26,1.79,0.43,515,python,6.7,NORMAL,0,none,20
